Job #,Channel,Ad,Item,rent,Amount,Shipping,Total Amount,Paid by F,Farahy Income,items,date
186,WEBSITE,N,"1 robe, 1 fan, 1 slippers",,900.0,,900.0,680.0,220.0,"['robe', 'fan', 'slippers']",2024-04-27
175,JUMIA,N,1 cap,,350.0,,,,282.0,['cap'],2024-05-01
188,GENIE,N,"1 mandeel-katb-ketab, 3 chocolate",,4075.0,,4075.0,3282.0,793.0,"['mandeel-katb-ketab', 'chocolate']",2024-05-01
189,FB,N,15 sashes,,1650.0,,1650.0,1200.0,450.0,['sashes'],2024-05-04
190,GENIE,N,"2 chocolate, 150 rosary",,7525.0,100.0,7625.0,5365.0,2128.0,"['chocolate', 'rosary']",2024-05-07
187,JUMIA,N,1 slippers,,157.8,,157.8,,157.8,['slippers'],2024-05-01
192,WEBSITE,Y,1 hat,,380.0,,380.0,304.0,76.0,['hat'],2024-05-20
194,WEBSITE,Y,4 sunglasses,,760.0,,760.0,608.0,152.0,['sunglasses'],2024-05-25
195,WEBSITE,N,9 scrunches,,315.0,,315.0,252.0,63.0,['scrunches'],2024-06-04
197,WEBSITE,N,"1 mandeel-katb-ketab, 1 guest-book, 1 welcome-board",,2200.0,,2200.0,1762.5,437.5,"['mandeel-katb-ketab', 'guest-book', 'welcome-board']",2024-06-08
198,WEBSITE,N,"1 hat, 12 socks",,1748.0,,1750.0,1556.0,194.0,"['hat', 'socks']",2024-06-23
191,WEBSITE,Y,"9 sashes, 9 keychain, 9 scrunches, 9 makeup-bag, 10 flower-pin, 1 corsage, 16 bowtie, 26 bracelets, 190 fan",,8589.0,,8754.0,7350.5,1295.5,"['sashes', 'keychain', 'scrunches', 'makeup-bag', 'flower-pin', 'corsage', 'bowtie', 'bracelets', 'fan']",2024-05-13
200,GENIE,N,1 kids-set,,690.0,,690.0,600.0,90.0,[],2024-06-27
196,WEBSITE,N,16 scrunches,,560.0,,560.0,448.0,112.0,['scrunches'],2024-06-07
199,REFERRAL,N,1 mandeel-katb-ketab,,500.0,,500.0,425.0,75.0,['mandeel-katb-ketab'],2024-06-29
184,CALL,N,1 acrylic-door-hanger,,500.0,,500.0,400.0,100.0,['acrylic-door-hanger'],2024-04-23
202,GENIE,N,1 mandeel-katb-ketab,,550.0,,550.0,424.0,125.0,['mandeel-katb-ketab'],2024-07-06
201,WEBSITE,N,1 kids-sign,,300.0,,300.0,240.0,60.0,['kids-sign'],2024-07-04
204,FB,N,"10 robe, 3 kids-robe, 13 fan, 1 pyjama",,4445.0,,4445.0,3816.0,629.0,"['robe', 'kids-robe', 'fan', 'pyjama']",2024-07-14
204,WHATSAPP,N,"1 robe, 1 slippers, 5 fan",,770.0,,770.0,544.0,226.0,"['robe', 'slippers', 'fan']",2024-07-19
193,WEBSITE,Y,"1 pet-veil, 1 travel-kit, 13 cup",,7300.0,,7300.0,6080.0,1220.0,"['pet-veil', 'cup']",2024-05-20
203,GENIE,N,"8 box, 8 scrunches, 8 makeup-bag, 7 fan, 8 keychain",,2890.0,65.0,2955.0,2397.0,558.0,"['box', 'scrunches', 'makeup-bag', 'fan', 'keychain']",2024-07-14
206,FB,N,1 fan,,250.0,,250.0,200.0,50.0,['fan'],2024-07-24
168,GENIE,N,"165 candle, 1 welcome-board, 1 jerb, 40 water-stickers, 4 corsage, 5 flower-pin",,11895.0,70.0,11965.0,1460.0,4352.0,"['candle', 'welcome-board', 'jerb', 'water-stickers', 'corsage', 'flower-pin']",2024-02-03
205,GENIE,N,"200 favours, 1 welcome-board",,18900.0,,18900.0,15600.0,3300.0,"['favours', 'welcome-board']",2024-07-24
172,GENIE,N,"12 robe, 12 box, 1 bouquet, 1 flower-pin",,5610.0,175.0,5785.0,,1122.0,"['robe', 'box', 'bouquet']",2024-03-25
207,GENIE,N,"1 mabkhra, 1 mandeel-katb-ketab",,1500.0,,1500.0,,,"['mabkhra', 'mandeel-katb-ketab']",2024-08-03
